artigoEmPeriodico	 	2018		Acoustic radiation force impulse elastography of the eyes of brachycephalic dogs	ARQUIVO BRASILEIRO DE MEDICINA VETERINARIA E ZOOTECNIA	ABREU, T. G. M. ; FELICIANO, M. A. R. ; RENZO, R. ; KOBASHIGAWA, K. K. ; CHACALTANA, F. D. Y. C. ; CRIVELARO, R. M. ; ALDROVANI, M. ; MARONEZI, M. C. ; Thiesen, R. ; LAUS, J. L.		
trabalhoCompletoEmCongresso	 	2012		'OS IMPACTOS SÓCIO-AMBIENTAIS E ECONÔMICOS DA REESTRUTURAÇÃO DO SETOR CANAVIEIRO NO MUNICÍPIO DE LENÇÓIS PAULISTA'	XIX SIMPEP	DINARDI, A. J		
trabalhoCompletoEmCongresso	 	2012		DESENVOLVIMENTO CLONAL DE EUCALYPTUS SPP EM DIFERENTES ESPAÇAMENTOS	XIX SIMPEP	DINARDI, A. J		
trabalhoCompletoEmCongresso	 	2012		Análise do material didático de Ciências do 6º ano do Ensino Fundamental em duas escolas no município de Lençóis Paulista	1º Congresso Científico da Faculdade Orígenes Lessa	DINARDI, A. J		
trabalhoCompletoEmCongresso	 	2012		Science education through experimentation and problem-based learning: The food and our health	XLI Annual Meeting of The Brazilian Biochemistry and Molecular Biology Society	FOLMER, V. ; COUTINHO, Renato ; PESSANO, Edward ; PUNTEL, R. ; BARBOSA, N. B. V.		
trabalhoCompletoEmCongresso	 	2012		Metabolic and ventilatory comparison of Glittre activity of daily living test (GADL) and six minutes walk test (6MWT) in COPD patients	American Thoracic Society	Fonseca G ; Moreira GL ; Manzano BM ; CASTRO, A. M. ; Iamonte, V.C. ; PORTO, E. F. ; Nascimento, O. ; JARDIM, J. R.		
trabalhoCompletoEmCongresso	 	2012		Cuidado a pessoas com doença crônica e sua relação com o ensino, pesquisa e extensão	II Jornada Internacional de Enfermagem- Visibilidade profissional do enfermeiro: avanços e conquistas	GEWEHR, Melissa ; LEAL, Tifany Colomé ; GARCIA, Raquel Pötter ; ROBAINA, Marianne Lopes ; SOARES, Rhea Silvia ; SAUL, Alexsandra Micheline Real ; SCHIMITH, Maria Denise ; BUDÓ, Maria de Lourdes Denardin		
trabalhoCompletoEmCongresso	 	2012		Atuação do enfermeiro na Estratégia Saúde da Família: relato de experiência	II Jornada Internacional de Enfermagem - UNIFRA	GOMES, T. F. ; SCHIMITH, M.D. ; BUDÓ, M.L.D. ; Simon, B.S. ; BRUM, D.J.T. ; ROBAINA, M.L. ; BORDIGNON, J. S.		
trabalhoCompletoEmCongresso	 	2012		Aplicação de um projeto promoção de saúde através do ensino de ciências: perfil dos alunos participantes	Sintec 2 - Seminário Internacional de Educação em Ciências	ILHA, Phillip Vilanova; Rossi, Daniela Sastre ; Krug, Marília de Rosso ; Soares, Félix Alexandre Antunes ; Lima, Ana Paula Santos de		
trabalhoCompletoEmCongresso	 	2012		A Síndrome de Burnout no trabalho de assistência à saúde: estudo junto aos profissionais da equipe de enfermagem hospitalar	Anais Jornada Internacional de Enfermagem - visibilidade profissional do enfermeiro: avanços e conquistas	LANA, L. D.; MULLER, D. V. K. ; SCHNEIDER, R. H. ; Portela, O. T. ; RODRIGUES, M.K.		
trabalhoCompletoEmCongresso	 	2012		A importância da instituição de práticas educativas voltadas para a educação alimentar em funcionários de enfermagem num hospital universitário	II Jornada Internacional de Enfermagem UNIFRA: visibilidade profissional do enfermeiro: avanços e conquistas	LANA, L. D.; MULLER, D. V. K. ; SCHNEIDER, R. H. ; RODRIGUES, M.K. ; Rodrigues, L.K. ; Oliveira, L.R.		
trabalhoCompletoEmCongresso	 	2012		Auditoria nos Serviços de Enfermagem como Estratégia de Melhoria na Gestão do Serviço	II Jornada Internacional de Enfermagem UNIFRA: visibilidade profissional do enfermeiro: avanços e conquistas	LANA, L. D.; RODRIGUES, M.K. ; Portela, O. T. ; Severo, TA ; Almeida, CG ; Cocco, I.		
trabalhoCompletoEmCongresso	 	2012		Educação em saúde a partir do tema gerador amamentação	II Encontro nacional de Ensino de Ciências da Saúde e do Ambiente	LANES, K.G. ; COPETTI, J. ; LARA, S. ; LANES, D.V.C. ; PUNTEL, R.L. ; FOLMER, V.		
trabalhoCompletoEmCongresso	 	2012		Capacitação de docentes por meio da metodologia de problematização: uma proposta de trabalho com o tema alimentação saudável	II Seminário Internacional de Ensino de Ciências	LANES, K.G. ; LARA, S. ; COPETTI, J. ; LANES, D.V.C. ; FOLMER, V.		
trabalhoCompletoEmCongresso	 	2012		Entrevista com família de pacientes pós-infarto agudo do miocárdio¹	II Jornada Internacional de Enfermagem- Visibilidade profissional do enfermeiro: avanços e conquistas	LEAL, Tifany Colomé ; GARCIA, Raquel Pötter ; BUDÓ, Maria de Lourdes Denardin ; BARBOSA, Mariane da Silva ; SIMON, Bruna Sodré ; GEWEHR, Melissa ; SILVA, Marciele Moreira da		
trabalhoCompletoEmCongresso	 	2012		A temática 'saúde' na concepção de professores dos anos iniciais do Ensino Fundamental: questões concernentes a metodologias e aprendizagem	IX Seminário de Pesquisa em Educação da Região Sul - IX ANPED SUL	MARINHO, Julio Cesar Bresolin; Da Silva, João Alberto		
trabalhoCompletoEmCongresso	 	2012		Apontamentos sobre a educação em saúde nos anos iniciais do Ensino Fundamental	II Seminário Internacional de Educação em Ciências	MARINHO, Julio Cesar Bresolin; Da Silva, João Alberto		
trabalhoCompletoEmCongresso	 	2012		A percepção paradigmática sobre saúde presente nos trabalhos desenvolvidos com a temática educação em saúde na escola	III Encontro Nacional de Ensino de Ciências da Saúde e do Ambiente	MARINHO, Julio Cesar Bresolin; TAUCHEN, G. ; Da Silva, João Alberto		
trabalhoCompletoEmCongresso	 	2012		Educação em saúde com adolescentes: Relato de experiência	II Jornada Internacional de Enfermagem- Visibilidade profissional do enfermeiro: avanços e conquistas	OLIVEIRA, Carla Silveira de ; BARBOSA, Mariane da Silva ; MACHADO, Naiane Campos ; GARCIA, Raquel Pötter ; BUDÓ, Maria de Lourdes Denardin		
trabalhoCompletoEmCongresso	 	2012		Avaliação da qualidade de vida de pacientes portadores de pneumopatia crônica	II Jornada Internacional de Enfermagem UNIFRA: visibilidade profissional do enfermeiro: avanços e conquistas	Portela, O. T. ; RODRIGUES, M.K. ; LANA, L. D. ; MULLER, D. V. K. ; SCHNEIDER, R. H. ; Cocco, I. ; Rodrigues, L.K. ; Oliveira, L.R.		
trabalhoCompletoEmCongresso	 	2012		Relato de experiência: Cuidado a pessoas com perdas funcionais e dependência e suas famílias no ambiente domiciliar	II Jornada Internacional de Enfermagem- Visibilidade profissional do enfermeiro: avanços e conquistas	ROBAINA, Marianne Lopes ; GOMES, Taís Falcão ; FERRAZ, Saul ; BUDÓ, Maria de Lourdes Denardin ; GEWEHR, Melissa ; GARCIA, Raquel Pötter		
trabalhoCompletoEmCongresso	 	2012		Educação em saúde a pessoa com diabetes mellitus: Relato de experiência (2012)	II Jornada Internacional de Enfermagem- Visibilidade profissional do enfermeiro: avanços e conquistas	ROSSO, Laís Fuzer ; SCHIMITH, Maria Denise ; SILVA, Dalva Cezar da ; SILVA, Marciele Moreira da ; GARCIA, Raquel Pötter ; BRUM, Dyan Jamilles Teixeira		
trabalhoCompletoEmCongresso	 	2012		Aspectos culturais que permeiam o cuidado do doente crônico: Revisão Bibliográfica	II Jornada Internacional de Enfermagem- Visibilidade profissional do enfermeiro: avanços e conquistas	SILVA, Dalva Cezar da ; SILVA, Marciele Moreira da ; GARCIA, Raquel Pötter ; CARVALHO, Sandra Ost Rodrigues ; BUDÓ, Maria de Lourdes Denardin ; RESSEL, Lúcia Beatriz		
trabalhoCompletoEmCongresso	 	2012		Contribuições do genograma e do ecomapa para o cuidado as famílias: Uma proposta de ensino da enfermagem	II Jornada Internacional de Enfermagem- Visibilidade profissional do enfermeiro: avanços e conquistas	SILVA, Marciele Moreira da ; BUDÓ, Maria de Lourdes Denardin ; SILVA, Silvana de Oliveira ; EBLING, Sandra Beatris Diniz ; GARCIA, Raquel Pötter ; SIMON, Bruna Sodré		
trabalhoCompletoEmCongresso	 	2012		Estudo preliminar da produção científica sobre Educação Física e Mídia em periódicos nacionais	VI Congresso SulBrasileiro de Ciências do Esporte do CBCE	Silvan Menezes dos Santos ; Ângelo Luiz Bruggemann ; Bianca Poffo ; Fernanda Fauth ; Juliano Silveira ; Luciana Fiamoncini ; BIANCHI, Paula		
trabalhoCompletoEmCongresso	 	2012		Enfermeiro estomaterapeuta: Cuidado ao indivíduo com estomia e sua família	II Jornada Internacional de Enfermagem- Visibilidade profissional do enfermeiro: avanços e conquistas	SIMON, Bruna Sodré ; BUDÓ, Maria de Lourdes Denardin ; GARCIA, Raquel Pötter ; SCHIMITH, Maria Denise ; SILVA, Marciele Moreira da ; GOMES, Taís Falcão		
trabalhoCompletoEmCongresso	 	2012		REALIDADE SOCIOECONÔMICA DE PESCADORES ARTESANAIS DA FRONTEIRA OESTE, URUGUAIANA, RS	V SIMCOPE - SIMPÓSIO DE CONTROLE DE QUALIDADE DO PESCADO.	SOUZA, Marco Aurélio Alves de; DONCATO, Kennia		
trabalhoCompletoEmCongresso	 	2012		PERFIL SÓCIOECONOMICO DE PESCADORES ARTESANAIS DO RIO URUGUAI, NOS MUNICIPIOS DE BARRA DO QUARAÍ E URUGUAIANA, RS	V SIMCOPE - SIMPÓSIO DE CONTROLE DE QUALIDADE DO PESCADO.	SOUZA, Marco Aurélio Alves de; RODRIGUES, Luciana ; MULLER, Iara ; GALARÇA, Rita		
trabalhoCompletoEmCongresso	 	2012		Formando guarani mbya: contribuições da infância do nhande reko	II Congresso Internacional Transdisciplinar sobre a Criança e o Adolescente	STOFEL, N. S.; CAMPOS, E. A.		
trabalhoCompletoEmCongresso	 	2012		PERFIL EPIDEMIOLÓGICO DE QUEDAS EM IDOSOS DOMICILIADOS	XVI Encontro Latino Americano de Iniciação Científica e XII Encontro Latino Americano de Pós-Graduação ? Universidade do Vale do Paraíba	TIER, C. G.; SCHERF, B. G. ; HILGERT, R. M. ; POLL, Marcia Adriana ; DIAS, S. L. A.		
trabalhoCompletoEmCongresso	 	2012		PROGRAMA DE EXTENSÃO PRÁTICAS INTEGRADAS EM SAÚDE COLETIVA (PISC) DA UNIVERSIDADE FEDERAL DO PAMPA CAMPUS URUGUAIANA	Seminário de Extensão Universitária da Região Sul	TORRES, O. M. ; SILVEIRA, M. P. T. ; BALK, R. S. ; SOUZA, N. S. ; DUARTE, M. L. C. ; FERREIRA, A. M. ; FOLMER, V. ; TRINDADE, P. A. ; BENDER, A. N. ; FELBER, D. T. ; SILVA, F. G. ; STENERT, F. ; ZEMOLIN, F. S. ; KIPPER, L. R. ; PORTO, L. B. ; BRUSTOLIN, M. ; OLIVEIRA, M. A. ; DORNELLES, R. S. ; RODRIGUES, R. L. ; MOREIRA, S. A.		
trabalhoCompletoEmCongresso	 	2012		Atenção Fisioterapêutica na Adrenoleucodistrofia: um relato de caso	3o Fórum de Fisioterapia	ZANELLA, Â. K.; CANOVA, G. ; PINHEIRO, K. C. ; FACCO, S. P. ; PASIN, J. S. M.		
trabalhoCompletoEmCongresso	 	2012		Estudo preliminar da produção científica sobre Educação Física e Mídia/TICs em periódicos nacionais	IV Encontro Nacional da Mídia Esportiva	Ângelo Luiz Bruggemann ; POFFO, Bianca Natália ; Fernanda Fauth ; Juliano Silveira ; Luciana Fiamoncini ; BIANCHI, Paula ; Silvan Menezes dos Santos		
trabalhoCompletoEmCongresso	 	2011		PROCESSO DE CORTE EM MÁQUINAS LASER	Semana Internacional das Engenharias da FAHOR - SIEF	Aline Beatriz Bartz ; Dinélle Izabel da Silva ; Tatiane Wunsch de Figueiredo ; SPOHR, C. B.		
trabalhoCompletoEmCongresso	 	2011		Análise da variabilidade da freqüência cardíaca no domínio do tempo em cães saudáveis	11 Congresso Paulista de Clínicos Veterinários de Pequenos Animais	ARAUJO, M. M. G. ; SANTOS, T. H. Y. ; LOURENCO, M. L. G. ; GONCALVES, R. S. ; MACHADO, L.H.A. ; SUDANO, M.J.		
trabalhoCompletoEmCongresso	 	2011		Transgressão e corpos no currículo da escola	V Seminário corpo	BALINHAS, V; VEIGA JUNIOR, A.		
trabalhoCompletoEmCongresso	 	2011		Balance energético en período de transición de vacas lecheras con excesiva condición corporal en el preparto	XV Congreso Latinoamericano de Buiatría	BARBOZA, C.S. ; CUCUNUBO, L.G. ; SÁNCHEZ, J.L. ; SMULDERS, J.P. ; WITTWER, F. ; Noro, Mirela		
trabalhoCompletoEmCongresso	 	2011		Desafios e implicações para o cuidador na assistência domiciliar: Uma breve reflexão	XV Simpósio de Ensino	BRUM, Dyan Jamilles Teixeira ; BUDÓ, Maria de Lourdes Denardin ; OLIVEIRA, Stefanie Griebeler ; GARCIA, Raquel Pötter ; OLIVEIRA, Luciana Griebeler ; SIMON, Bruna Sodré		
trabalhoCompletoEmCongresso	 	2011		Concentração de lactato e glicemia em cadelas e neonatos caninos nascidos de cesariana	XXIII Congresso de Iniciação Científica da Unesp	BUENO, L. M. C. ; LOPES, M. D. ; Prestes, N. C. ; TAKAHIRA, R. K. ; LOURENCO, M. L. G. ; DERUSSI, A. A. P. ; SUDANO, M.J.		
trabalhoCompletoEmCongresso	 	2011		PERCEPÇÃO DE LESÕES MUSCULARES EM PRATICANTES DE MUSCULAÇÃO EM ACADEMIAS COM E SEM SUPERVISÃO DE FISIOTERAPEUTA: UMA ANÁLISE CUSTO - EFETIVIDADE	VII congresso brasileiro de atividade física e saúde	CASTRO, A. M.; Fausto, D.M. ; Raqueli Pasini Zeilinger Guerino ; Taise Keller Ferreira ; Leslie Andrews Portes ; Gabriel Gustavo Bergmann ; Mauren Lúcia de Araújo Bergmann ; PORTO, E. F.		
trabalhoCompletoEmCongresso	 	2011		Relação entre a dependência de nicotina e a percepção da função física em indivíduos adultos fumantes e não fumantes: Um estudo controlado	VII congresso brasileiro de atividade física e saúde	CASTRO, A. M.; Fausto, D.M. ; Vargas, L. ; Gabriel Gustavo Bergmann ; Mauren Lúcia de Araújo Bergmann ; PORTO, E. F.		
trabalhoCompletoEmCongresso	 	2011		Energy expenditure and thoracoabdominal asynchrony in patients with COPD accomplishing two types of upper limbs exercises	American Thoracic Society	CASTRO, A. M.; Iamonte, V.C. ; PORTO, E. F. ; CORTOPASSI, F. ; Colucci, M. ; Fonseca G ; Nascimento, O. ; JARDIM, J. R.		
trabalhoCompletoEmCongresso	 	2011		A magia na Umbanda	IX Reunião de Antropologia do Mercosul	CHIESA, G. R		
trabalhoCompletoEmCongresso	 	2011		A umbanda e as coisas: cosmologia e materialidade na experiência religiosa	XII Simpósio Nacional da Associação Brasileira de História das Religiões	CHIESA, G. R		
trabalhoCompletoEmCongresso	 	2011		Conhecimento de professores do ensino fundamental sobre saúde e fatores de risco para doenças crônicas	SIEDUCA -Seminário Internacinal de Educação	COPETTI, J.; DAMBROS, D.D. ; LARA, S. ; SOARES, RG ; PUNTEL, R.L. ; FOLMER, V.		
trabalhoCompletoEmCongresso	 	2011		Fatores de risco para doenças crônicas: o conhecimento de alunos e professores do ensino fundamental	I Seminário Internacional de Educação em Ciências	COPETTI, J.; SOARES, RG ; PUNTEL, R.L. ; FOLMER, V.		
trabalhoCompletoEmCongresso	 	2011		Bases Teóricas de inspeção termográfica para aplicação em componentes elétricos	Semana Internacional das Engenharias da FAHOR - SIEF	Cristian Paluchowski ; Francine Steffenello ; Matias Steffenello ; Tiago Franken ; SPOHR, C. B.		
trabalhoCompletoEmCongresso	 	2011		Prueba de Rothera en orina para el diagnóstico de balance energético negativo y cetosis en vacas lecheras	XV Congreso Latinoamericano de Buiatría	CUCUNUBO, L.G. ; BARBOZA, C.S. ; SÁNCHEZ, J.L. ; CALVACHE, I. ; WITTWER, F. ; Noro, Mirela		
trabalhoCompletoEmCongresso	 	2011		Caminhar, correr, pedalar: a cidade como currículo	VII Congresso Internacional de Educação - Profissão docente: há futuro para este ofício?	CUNHA, Álvaro Luís Ávila; BALINHAS, V. G.		
trabalhoCompletoEmCongresso	 	2011		O desenvolvimento cognitivo e a experimentação na perspectiva construtivista	II Colóquio Internacional de Epistemologia e Psicologia Genéticas: interlocuções e debates atuais	Da Silva, João Alberto ; SILVA, G. R. ; MARINHO, Julio Cesar Bresolin ; BARTELMEBS, R. C.		
trabalhoCompletoEmCongresso	 	2011		Atividades corporais nos anos iniciais: o olhar de professoras unidocentes	XVI SIEDUCA - Seminário Internacional de Educação "Docência nos seus múltiplos espaços"	DAMBROS, D.D. ; COPETTI, J. ; LARA, S. ; FOLMER, V.		
trabalhoCompletoEmCongresso	 	2011		Percepções de estudantes do oitavoano do Ensino Fundamental acerca dos vegetais	I Seminário Internacional de Educação em Ciências	DAVILA, Eliziane ; PESSANO, Edward ; SILVEIRA, M. G. ; FOLMER, V		
trabalhoCompletoEmCongresso	 	2011		Substituição do soro fetal bovino pela albumina sérica bovina na produção in vitro de embriòes bovinos	XXIII Congresso de Iniciação Científica da UNESP	DIAS, H. P. ; SOUZA, T. ; SUDANO, M.J. ; PASCHOAL, D. M.		
trabalhoCompletoEmCongresso	 	2011		TRANSFERÊNCIA DE CALOR NO PROCESSO DE TÊMPERA	Semana Internacional das Engenharias da FAHOR - SIEF	Djone Rafael Viana ; Leonardo José Lottermann ; SPOHR, C. B.		
trabalhoCompletoEmCongresso	 	2011	http://dx.doi.org/Caracteriza%C3%A7%C3%A3o%20do%20desempenho%20f%C3%ADsico%20e%20das%20atividades%20de%20vida%20di%C3%A1ria%20em%20indiv%C3%ADduos%20hemipar%C3%A9ticos	Caracterização do desempenho físico e das atividades de vida diária em indivíduos hemiparéticos	II Fórum de Integração em Fisioterapia	FILIPPIN, Nadiesca ; GUEDES, Márcia Mar ; FERREIRA, Fernanda Vargas		
trabalhoCompletoEmCongresso	 	2011		Cotidiano e aprendizado de cuidadores familiares de doentes crônicos: identificando espaço de atuação do enfermeiro	Seminário Latino Americano de Pesquisa e Assistência de Enfermagem à Família e 13º LEIFAMS	GARCIA, R.P. ; BUDÓ, M.L.D. ; OLIVEIRA, S.G ; SCHIMITH, M.D. ; WUNSCH, S. ; SIMON, B. S.		
trabalhoCompletoEmCongresso	 	2011		Over time repeated measurements of resting inspiratory capacity in COPD patients as a reliable method	American Thoracic Society	Iamonte, V.C. ; CASTRO, A. M. ; PORTO, E. F. ; CORTOPASSI, F. ; Colucci, M. ; Fonseca G ; Nascimento, O. ; JARDIM, J. R.		
trabalhoCompletoEmCongresso	 	2011		Feasibility of Transitional Dyspnea Index score as a good indicator of better physical capacity perfomance in COPD patients	American Thoracic Society	Iamonte, V.C. ; PORTO, E. F. ; CASTRO, A. M. ; KUMPEL, C. ; Rissari F ; Trindade GM		
trabalhoCompletoEmCongresso	 	2011		Unipampa nos caminhos do Projeto Rondon	29º Seminário de Extensão Universitária da Região Sul (SEURS)	LIPINSKI, J. M.; Prates, L. A ; TORRES, O. M. ; RADDATZ, L. L. ; PINTO, D. S. B. ; MÜLLER, I. T. G. ; HUEZO, M. R. ; HOSSA, K. R. ; BASSO, L. J. ; OLIVEIRA, M. R. ; DREWS, M. S. ; FUNGETTO, C. I. ; SOUZA, N. S. ; GUIMARÃES, A. ; PINHO, A. S. ; KOPP, L. M. ; OLIVEIRA, M. A. B.		
trabalhoCompletoEmCongresso	 	2011		A experimentação para além dos sentidos como forma de significar a Educação em Saúde	I Seminário Internacional de Educação em Ciências - SINTEC	MARINHO, Julio Cesar Bresolin; Da Silva, João Alberto		
trabalhoCompletoEmCongresso	 	2011		Educação em Saúde e Escola: as potencialidades desta relação	X Seminário de Pesquisa Qualitativa: vivências em metodologia	MARINHO, Julio Cesar Bresolin; Da Silva, João Alberto		
trabalhoCompletoEmCongresso	 	2011		Educação em saúde e as articulações na escola por um olhar construtivista	VIII Encontro Nacional de Pesquisa em Educação em Ciências (ENPEC); I Congresso Iberoamericano de Investigación de Enseñanza de las Ciencias (CIEC); IV Escola de Formação de Pesquisadores em Educação em Ciências	MARINHO, Julio Cesar Bresolin; Da Silva, João Alberto		
trabalhoCompletoEmCongresso	 	2011		CUERPOS, GÉNEROS, SEXUALIDADES, RELACIONES ÉTNICO-RACIALES: DISCUTIENDO TEMAS TRANSVERSALES EN EL CURRÍCULUM DE LA EDUCACIÓN BÁSICA	XI Congresso Iberoamericano de Extension Universitaria	Mello, E. M. B. ; SILVA, F. F. ; SOARES, F. M. P. F. ; SOARES, C. B.		
trabalhoCompletoEmCongresso	 	2011		O Movimento Social Negro, o Estado e a Eduação como instrumento de combate a desigualdade racial: a Lei federal 10.639/03	XI Congresso Luso Afro Brasileiro de Ciências Sociais	MESSIAS, Marta Iris Camargo; SILVEIRA, P. R. C. ; SCHOLZ, D. C. ; NOGUEIRA, Daiana Clotildes Ferreira ; MOSSOCO, Eduardo Rios ; FONTOURA, Miriam Brongar ; GOMES, Rosangela da Conceição ; ALVES, Giovani da Rosa		
trabalhoCompletoEmCongresso	 	2011		Indicadores productivos y ruminales de vacas lecheras a pastoreo suplementadas con taninos de quebracho	XV Congreso Latinoamericano de Buiatría	Noro, Mirela; BARBOZA, C.S. ; REYES, G. F. ; WESCHENFELDER, M.M. ; CUCUNUBO, L.G. ; SÁNCHEZ, J.L.		
trabalhoCompletoEmCongresso	 	2011		Avaliação da Temperatura Corporal de Leitões Recém Nascidos em Diferentes Locais	XV Congresso da ABRAVES	OELKE, Carlos Alexandre; KROLOW, Rodrigo Holz ; DAHLKE, Fabiano ; BOCK, D. F. ; MARTINEZ, D. ; BERWANGER, L.		
trabalhoCompletoEmCongresso	 	2011		Perspectivas futuras da taxonomia II da NANDA Internacional e suas implicações para o ensino, assistência e pesquisa	XV Simpósio de Ensino	OLIVEIRA, Luciana Griebeler ; OLIVEIRA, Stefanie Griebeler ; GARCIA, Raquel Pötter ; SIMON, Bruna Sodré		
trabalhoCompletoEmCongresso	 	2011		Fatores de risco para a contaminação por Salmonella ao longo da cadeia de produção de rações de suínos	IV Simpósio Internacional de Suinocultura	PELLEGRINI, D. C. P		
trabalhoCompletoEmCongresso	 	2011		Percepções de alunos do ensino fundamental sobre aspectos ambientais do rio Uruguai, em cinco escolas de Uruguaiana, RS	I Seminário Internacional de Educação em Ciências	PESSANO, Edward; DAVILA, Eliziane ; SILVEIRA, M. G. ; FOLMER, V. ; PUNTEL, R.		
trabalhoCompletoEmCongresso	 	2011		A sexualidade no puerpério sob a percepção de mulheres e profissionais de saúde: uma revisão integrativa	V Seminário Corpo	Prates, L. A ; CECCON, Fernando Gomes ; LIPINSKI, J. M.		
trabalhoCompletoEmCongresso	 	2011		Construindo uma rede de apoio à amamentação: ações de atenção integral e humanizada	VII Semana de Enfermagem da Universidade Federal de Santa Maria	Prates, L. A ; LIPINSKI, J. M.		
trabalhoCompletoEmCongresso	 	2011		OBESIDADE E SOBREPESO EM ESCOLARES DE UMA ESCOLA PÚBLICA NA SERRA GAÚCHA	I Congresso Internacional em Saúde de Ijuí - Saúde e Envelhecimento	Rech, Ricardo Rodrigo ; HALPERN, R. ; Costanzi, Cristine Boone ; BERGMANN, M. L. A. ; Alli, Lidiane Requia ; Mattos, Airton Pozzo de ; MACHADO, S. A. ; RECH, R. R.		
trabalhoCompletoEmCongresso	 	2011		O BRASIL NA COPA, A COPA NO BRASIL: O AGENDAMENTO DA COPA DE 2014 EM BLOGS	XVII Congresso Brasileiro de Ciências do Esporte e IV Congresso Internacional de Ciências do Esporte	Rodrigo Duarte Ferrari ; BIANCHI, Paula ; MIRANDA, L. V. T. ; Antonio Luis Fermino ; CRUZ JUNIOR, G. ; ANTUNES, Sheila Espíndola ; AZEVEDO, Victor de Abreu		
trabalhoCompletoEmCongresso	 	2011		Que corpo é esse que transita na escola? tecendo problematizações com professor@s da Educação Básica	V Seminário Corpo	SILVA, F. F.; Mello, E. M. B. ; SOARES, C. B. ; SOARES, F. M. P. F. ; FERRAZ, P. C. ; SILVA, P. H.		
trabalhoCompletoEmCongresso	 	2011		Eficácia das orientações pré-operatórias na clínica cirúrgica de um hospital de ensino	VII Semana de Enfermagem da UFSM	SILVA, RM ; LANA, L. D. ; BIRRER, JA ; SOARES, RSA		
trabalhoCompletoEmCongresso	 	2011		Percepção dos pacientes de uma clínica cirúrgica quanto às orientações pré-operatórias	XI Jornada Internacional de Enfermagem UNIFRA	SOARES, RSA ; BIRRER, JA ; LANA, L. D.		
trabalhoCompletoEmCongresso	 	2011		Metodologia para medição de potência em amplificadores de som	Semana Internacional das Engenharias da FAHOR - SIEF	SPOHR, C. B.; Cristian Fin Schneider ; Jeferson Peiter ; Renan Vinicyus Perinazzo		
trabalhoCompletoEmCongresso	 	2011		Balance energético en vacas lecheras tratadas con baja dosis de somatotropina recombinante bovina (bST) desde el período de transición	XV Congreso Latinoamericano de Buiatría	SÁNCHEZ, J.L. ; TAGLE, N. ; DAETZ, R. ; DUVACHELLE, E. ; Noro, Mirela		
trabalhoCompletoEmCongresso	 	2011		Estacionalidad de la presentación de desbalances de macrominerales en vacas en lactancia a pastoreo en el sur de Chile	XV Congreso Latinoamericano de Buiatría	WAGEMANN, C. ; BARBOZA, C.S. ; BÖHMWALD, H. ; CHIHUAILAF, R. ; WITTWER, F. ; Noro, Mirela		
trabalhoCompletoEmCongresso	 	2010		Terapia Familiar: Uma proposta de melhoria na adesão ao Tratamento do Dependente/Usuário Químico	X Jornada Nacional de Enfermagem	AMBROS, E. L.; DIAS, M. V. ; ABREU, R. R. ; Tauana Reinstein de Figueiredo ; Hilda Maria Freitas Medeiros		
trabalhoCompletoEmCongresso	 	2010		Saúde das professoras da rede municipal de ensino: entre o cuidado e a renúncia	ANPED SUL- Formação	BALINHAS, V; Eslabão, L ; SILVA, A. F. ; Vieira ; Martins, Maria de Fátima Duarte ; Garcia ; Fetter, C		
trabalhoCompletoEmCongresso	 	2010		Trabalho Docente e saúde do professorado na rede municipal de Pelotas	ENDIPE - Encontro Nacional de Didática e Prática de Ensino	BALINHAS, V; Vieira ; Garcia ; Eslabão, L		
trabalhoCompletoEmCongresso	 	2010		In: III Seminário em Epistemologia e Educação Física e I Seminário em Formação de professores, 2010, Santa Maria. Anais do II Seminário em Epistemologia e Educação Física e I Seminário em Formação de professores		BIANCHI, Paula. BREVES REFLEXÕES SOBRE A PRESENÇA DO DISCURSO DA INDÚSTRIA CULTURAL NO CAMPO TEÓRICO-PRÁTICO DA EDUCAÇÃO FÍSICA ESCOLAR A PARTIR DAS TECNOLOGIAS DE INFORMAÇÃO E COMUNICAÇÃO		
trabalhoCompletoEmCongresso	 	2010		EXPERIMENTANDO A MÍDIA-EDUCAÇÃO NO RÁDIO EM URUGUAIANA, RS	V CONGRESSO SUL BRASILEIRO DE CIÊNCIAS DO ESPORTE	BIANCHI, Paula; FIORAVANTE, V. ; SCHOLZ, D. ; SOUZA, N. S.		
trabalhoCompletoEmCongresso	 	2010		Roda de conversa sobre saúde do homem: um relato de experiência	XIV Simpósio de Ensino Pesquisa e Extensão	BRUM, Dyan Jamilles Teixeira ; OLIVEIRA, Luciana Griebeler ; LEAL, Tifany Colomé ; WÜNSCH, Simone ; GARCIA, Raquel Pötter ; SIMON, Bruna Sodré ; OLIVEIRA, Stefanie Griebeler		
trabalhoCompletoEmCongresso	 	2010		Efeitos da Eutonia como prática corporal alternativa aplicada em crianças com paralisia cerebral	IV Congresso Brasileiro de Educação Especial - VI Encontro Nacional dos Pesquisadores da Educação Especial	CASAROTTO, V.J. ; ZANELLA, Â. K.		
trabalhoCompletoEmCongresso	 	2010		Variáveis que influenciam na melhora da qualidade de vida de pacientes com DPOC após um programa de reabilitação pulmonar	15o Simpósio Internacional de Fisioterapia Respiratória e Fisioterapia em Terapia Intensiva	CASTRO, A. M.; Colucci, M. ; Lara, T. ; JARDIM, J. R.		
